Driver,Round,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
LEC,8,168.40856031128405,290.0,60.19455252918288,24.124513618677042,9925.953307392996,13.0,27.75372706422017,201.46153846153845,113.53846153846153,113.53846153846153,1.4893076923076916,0.7417482866242823,-13.308913308913308,-15.0,1.0302146395156853,1.0989150090415913,,198.28,220.42105263157896,143.37037037037038,95.34883720930233,241.6315789473684,165.45454545454547,204.8,186.33333333333334,119.56756756756756,31.506849315068493,21.875,20.689655172413794
NOR,8,167.2248062015504,289.0,54.848837209302324,23.643410852713178,9974.903100775195,13.0,29.08491107286287,187.07692307692307,107.6923076923077,107.6923076923077,1.5598461538461532,0.76975928766514,-13.607549857549854,-15.0,1.4363236103467252,,,203.47619047619048,217.05882352941177,146.52,97.31372549019608,236.64705882352942,174.46666666666667,200.5625,186.28,125.33333333333333,30.434782608695656,23.364485981308412,18.9873417721519
OCO,8,166.38490566037737,292.0,58.85283018867924,29.056603773584904,9822.641509433963,12.0,31.76653476540417,197.08333333333334,102.91666666666667,102.91666666666667,1.873166666666666,0.8432280072567712,-13.923182441700959,-15.0,,,,191.56521739130434,228.52941176470588,140.51724137931035,94.8695652173913,234.5,166.57692307692307,207.72727272727272,190.75,120.54054054054055,34.24657534246575,29.591836734693878,24.731182795698924
PIA,8,172.18217054263565,286.0,57.67829457364341,22.868217054263564,10137.53488372093,12.0,31.042382588774338,196.75,108.5,108.5,1.8066666666666664,0.787368436982051,-13.450893897041718,-15.0,1.0183819482663732,,,190.95238095238096,228.10526315789474,156.46153846153845,94.65116279069767,237.54166666666666,159.14814814814815,194.8095238095238,198.12,134.85294117647058,26.47058823529412,24.03846153846154,18.823529411764707
RUS,8,163.58555133079847,288.0,57.61216730038023,25.85551330798479,9994.67680608365,13.0,31.0112359550562,185.53846153846155,106.61538461538461,106.61538461538461,1.6984615384615398,0.7016495526076779,-13.307132682132675,-15.0,1.4826086956521738,1.0936708860759492,,190.61904761904762,220.55555555555554,142.2258064516129,93.6,241.94117647058823,167.33333333333334,199.70833333333334,190.82608695652175,117.34285714285714,28.57142857142857,27.77777777777778,21.428571428571427
SAI,8,168.72222222222223,287.0,55.77777777777778,31.48148148148148,9808.051851851851,13.0,32.28523301516002,192.3846153846154,105.07692307692308,105.07692307692308,1.7692307692307687,0.7703833365325997,-14.00821400821401,-15.0,,,,191.2608695652174,219.7826086956522,145.05405405405406,98.47826086956522,243.05882352941177,163.6551724137931,204.42105263157896,187.86363636363637,135.67567567567568,40.963855421686745,27.184466019417474,28.04878048780488
STR,8,162.65579710144928,289.0,52.61594202898551,28.985507246376812,9756.518115942028,12.0,31.8593492899711,196.58333333333334,100.33333333333333,100.33333333333333,1.9200833333333331,0.8172433805516899,-13.958608906525606,-15.0,1.0401210787011557,1.136829415310428,,187.92,200.95238095238096,143.66666666666666,103.19607843137256,253.375,150.6153846153846,198.63636363636363,175.42857142857142,117.29729729729729,32.53012048192771,27.27272727272727,27.956989247311824
TSU,8,167.0653846153846,286.0,59.05,24.23076923076923,9966.173076923076,12.0,29.918309859154927,195.58333333333334,105.91666666666667,105.91666666666667,1.7701666666666667,0.7057220691525032,-14.076967592592593,-15.0,,,,183.84,226.83333333333334,144.66666666666666,91.54761904761905,235.1578947368421,170.1904761904762,196.52173913043478,192.17391304347825,120.05405405405405,28.947368421052634,23.157894736842106,21.839080459770116
VER,8,168.56296296296296,288.0,57.72962962962963,26.666666666666668,9961.762962962963,12.0,30.4037095333305,196.16666666666666,105.16666666666667,105.16666666666667,1.7867499999999998,0.6410914033895625,-15.0,-15.0,1.3631260319207483,,,189.91666666666666,219.63636363636363,148.68,99.58490566037736,237.47058823529412,167.4,209.64705882352942,190.56,126.38888888888889,31.16883116883117,25.0,25.0
ALB,9,232.94052044609666,329.0,78.19330855018588,13.011152416356877,10663.944237918216,6.0,16.78630590833795,260.5,137.83333333333334,137.83333333333334,2.0266666666666686,0.4511713150850309,-15.0,-15.0,1.0096900136412814,1.0185794261721484,1.017758302583026,323.04761904761904,219.3448275862069,272.54545454545456,215.13333333333333,191.33333333333334,215.0,286.72727272727275,156.11111111111111,241.26666666666668,5.128205128205128,18.085106382978726,14.583333333333334
